OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
18010074,1/15/18,20:44:00,1/15/18,21:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z2,Gray House/Hayes House,733,,Techwood Drive NW,,,1
18010089,1/18/18,15:33:00,1/18/18,15:50:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Klaus Advanced Computing Building,266,,Ferst Drive  NW,,,1
18010157,1/28/18,14:30:00,1/28/18,15:09:00,9999,Non-Crime (not reported to state),Closed/Cleared,,NONCAM,Z1,,,,,33.77895641,-84.40131466,1
18010166,1/30/18,17:29:00,1/30/18,18:15:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z2,,,,,,,1
18020265,2/14/18,15:18:00,2/14/18,15:36:00,9999,Non-Crime (not reported to state),Further Investigation,,PUB,Z1,Ferst Drive @ Fowler Street NW,,,,,,1
18020301,2/18/18,1:50:00,2/18/18,2:29:00,9999,Non-Crime (not reported to state),Closed/Cleared,,PUB,Z2,,,,Techwood Drive @ Fourth Street NW,33.775156,-84.391976,1
18020302,2/18/18,19:45:00,2/18/18,20:01:00,9999,Non-Crime (not reported to state),Closed/Cleared,,NONCLERY,OFFCAM,Tenth Street  NW @ Williams Street  NW,,,,,,2
18020323,2/20/18,13:21:00,2/20/18,13:22:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Barnes and Noble Bookstore,48,,Fifth Street  NW,33.77668,-84.38863,1
18020324,2/17/18,15:36:00,2/20/18,14:16:00,2902,Damage to Property - Private,Closed/Cleared,Prosecution Declined,ONCAM,Z4,Bobby Dodd Stadium,155,,North Avenue  NW,,,1
18020341,2/20/18,16:00:00,2/21/18,8:30:00,9999,Non-Crime (not reported to state),Further Investigation,,ONCAM,Z2,Centergy Building,75,NW,Fifth Street NW,,,1
18020343,2/22/18,15:26:00,2/22/18,15:57:00,9999,Non-Crime (not reported to state),Closed/Cleared,Prosecution Declined,NONCAM,Z2,,,,Fifth Street @ Williams Street NW,,,1
18010034,1/9/18,21:00:00,1/9/18,21:44:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Ford Envir. Science & Technology,311,,Ferst Drive  NW,33.77889662,-84.39603609,1
18010068,1/14/18,2:00:00,1/14/18,2:50:00,4104,Liquor - Possession Of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,Towers Residence Hall   15   Z2,112,,Bobby Dodd Way NW,33.77343233,-84.39100012,1
18010071,1/14/18,21:06:00,1/14/18,21:20:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z1,Family Apartments,251,,Tenth Street  NW,,,1
